name,difficulty,likes,disslikes,isSolved
two-sum,Easy,41070,1327,1
add-two-numbers,Medium,23221,4483,1
longest-substring-without-repeating-characters,Medium,30796,1326,1
reverse-integer,Medium,9191,11215,1
string-to-integer-atoi,Medium,2656,7850,1
palindrome-number,Easy,8082,2373,1
integer-to-roman,Medium,4977,4891,1
roman-to-integer,Easy,8359,485,1
longest-common-prefix,Easy,11687,3577,1
remove-nth-node-from-end-of-list,Medium,14068,582,1
valid-parentheses,Easy,17114,894,1
merge-two-sorted-lists,Easy,16312,1437,1
remove-duplicates-from-sorted-array,Easy,9465,13041,1
remove-element,Easy,4901,6586,1
find-the-index-of-the-first-occurrence-in-a-string,Medium,1053,80,1
search-insert-position,Easy,10835,512,1
valid-sudoku,Medium,7547,845,1
rotate-image,Medium,13127,608,1
powx-n,Medium,6249,6691,1
maximum-subarray,Medium,26823,1202,1
length-of-last-word,Easy,2299,138,1
plus-one,Easy,6024,4620,1
add-binary,Easy,6395,672,1
sqrtx,Easy,5428,3736,1
climbing-stairs,Easy,16207,486,1
search-a-2d-matrix,Medium,10691,322,1
remove-duplicates-from-sorted-list,Easy,6389,221,1
merge-sorted-array,Easy,8588,783,1
binary-tree-inorder-traversal,Easy,10371,490,1
validate-binary-search-tree,Medium,13346,1076,1
same-tree,Easy,7765,162,1
symmetric-tree,Easy,11743,263,1
binary-tree-level-order-traversal,Medium,11761,228,1
maximum-depth-of-binary-tree,Easy,9180,152,1
binary-tree-level-order-traversal-ii,Medium,3952,305,1
convert-sorted-array-to-binary-search-tree,Easy,8723,439,1
convert-sorted-list-to-binary-search-tree,Medium,5441,125,1
balanced-binary-tree,Easy,7918,446,1
minimum-depth-of-binary-tree,Easy,5159,1044,1
path-sum,Easy,7581,903,1
path-sum-ii,Medium,6533,135,1
flatten-binary-tree-to-linked-list,Medium,9725,496,1
pascals-triangle,Easy,8640,287,1
pascals-triangle-ii,Easy,3354,288,1
best-time-to-buy-and-sell-stock,Easy,21840,693,1
valid-palindrome,Easy,5532,6375,1
single-number,Easy,12350,470,1
linked-list-cycle,Easy,10864,923,1
linked-list-cycle-ii,Medium,9645,686,1
binary-tree-preorder-traversal,Easy,5468,146,1
binary-tree-postorder-traversal,Easy,5329,161,1
reverse-words-in-a-string,Medium,5146,4432,1
intersection-of-two-linked-lists,Easy,11852,1072,1
two-sum-ii-input-array-is-sorted,Medium,8354,1127,1
excel-sheet-column-title,Easy,3408,499,1
majority-element,Easy,12986,417,1
excel-sheet-column-number,Easy,3841,310,1
binary-search-tree-iterator,Medium,7108,431,1
repeated-dna-sequences,Medium,2562,459,1
reverse-bits,Easy,3941,996,1
number-of-1-bits,Easy,4706,997,1
tenth-line,Easy,304,393,1
happy-number,Easy,7503,947,1
remove-linked-list-elements,Easy,6464,192,1
isomorphic-strings,Easy,5577,1078,1
reverse-linked-list,Easy,15853,266,1
contains-duplicate,Easy,7576,1065,1
contains-duplicate-ii,Easy,4267,2419,1
implement-stack-using-queues,Easy,3785,938,1
invert-binary-tree,Easy,10510,149,1
summary-ranges,Easy,2372,1297,1
majority-element-ii,Medium,6473,320,1
power-of-two,Easy,4523,332,1
implement-queue-using-stacks,Easy,4707,303,1
palindrome-linked-list,Easy,12634,702,1
lowest-common-ancestor-of-a-binary-search-tree,Medium,8438,242,1
delete-node-in-a-linked-list,Medium,1926,598,1
valid-anagram,Easy,7699,249,1
binary-tree-paths,Easy,5237,223,1
add-digits,Easy,2954,1725,1
missing-number,Easy,8175,3015,1
move-zeroes,Easy,12015,302,1
range-sum-query-immutable,Easy,2489,1746,1
range-sum-query-mutable,Medium,4172,226,1
power-of-three,Easy,2266,218,1
odd-even-linked-list,Medium,7588,431,1
counting-bits,Easy,8156,385,1
power-of-four,Easy,2777,327,1
reverse-string,Easy,6577,1028,1
intersection-of-two-arrays,Easy,4030,2044,1
intersection-of-two-arrays-ii,Easy,5763,804,1
guess-number-higher-or-lower,Easy,2553,303,1
kth-smallest-element-in-a-sorted-matrix,Medium,8469,297,1
insert-delete-getrandom-o1,Medium,7082,360,1
ransom-note,Easy,3408,389,1
first-unique-character-in-a-string,Easy,7075,236,1
find-the-difference,Easy,3432,403,1
sum-of-left-leaves,Easy,4111,265,1
convert-a-number-to-hexadecimal,Easy,1045,185,1
fizz-buzz,Easy,1334,198,1
add-strings,Easy,4045,618,1
n-ary-tree-level-order-traversal,Medium,3201,124,1
find-all-numbers-disappeared-in-an-array,Easy,7748,417,1
assign-cookies,Easy,1913,191,1
repeated-substring-pattern,Easy,4001,363,1
hamming-distance,Easy,3383,207,1
island-perimeter,Easy,5220,260,1
number-complement,Easy,2251,109,1
max-consecutive-ones,Easy,3719,416,1
teemo-attacking,Easy,681,66,1
next-greater-element-i,Easy,5045,311,1
keyboard-row,Easy,1169,1013,1
find-mode-in-binary-search-tree,Easy,2684,622,1
base-7,Easy,586,201,1
relative-ranks,Easy,823,42,1
fibonacci-number,Easy,5740,302,1
detect-capital,Easy,1839,382,1
minimum-absolute-difference-in-bst,Easy,2530,135,1
reverse-string-ii,Easy,1376,2912,1
student-attendance-record-i,Easy,466,28,1
reverse-words-in-a-string-iii,Easy,4402,215,1
maximum-depth-of-n-ary-tree,Easy,2325,78,1
binary-tree-tilt,Easy,1878,2019,1
reshape-the-matrix,Easy,2905,324,1
subtree-of-another-tree,Easy,6633,376,1
distribute-candies,Easy,1126,1228,1
n-ary-tree-preorder-traversal,Easy,2534,120,1
n-ary-tree-postorder-traversal,Easy,1971,88,1
minimum-index-sum-of-two-lists,Easy,1553,353,1
construct-string-from-binary-tree,Easy,2427,2925,1
merge-two-binary-trees,Easy,7627,267,1
average-of-levels-in-binary-tree,Easy,4437,277,1
two-sum-iv-input-is-a-bst,Easy,5411,235,1
robot-return-to-origin,Easy,1944,728,1
image-smoother,Easy,431,1729,1
second-minimum-node-in-a-binary-tree,Easy,1502,1689,1
binary-number-with-alternating-bits,Easy,1091,105,1
search-in-a-binary-search-tree,Easy,4350,160,1
insert-into-a-binary-search-tree,Medium,4317,154,1
kth-largest-element-in-a-stream,Easy,3670,2158,1
binary-search,Easy,7448,161,1
design-hashset,Easy,2475,232,1
design-hashmap,Easy,3780,344,1
to-lower-case,Easy,1374,2512,1
find-pivot-index,Easy,5625,592,1
self-dividing-numbers,Easy,1367,355,1
my-calendar-i,Medium,3717,94,1
largest-number-at-least-twice-of-others,Easy,873,815,1
prime-number-of-set-bits-in-binary-representation,Easy,565,487,1
toeplitz-matrix,Easy,3113,151,1
jewels-and-stones,Easy,4179,521,1
minimum-distance-between-bst-nodes,Easy,1958,338,1
rotate-string,Easy,2408,100,1
unique-morse-code-words,Easy,2139,1414,1
number-of-lines-to-write-string,Easy,456,1195,1
most-common-word,Easy,1439,2805,1
shortest-distance-to-a-character,Easy,2614,138,1
goat-latin,Easy,758,1159,1
positions-of-large-groups,Easy,714,114,1
flipping-an-image,Easy,2694,216,1
backspace-string-compare,Easy,5842,267,1
lemonade-change,Easy,1544,134,1
transpose-matrix,Easy,2513,415,1
binary-gap,Easy,492,621,1
reordered-power-of-2,Medium,1945,399,1
leaf-similar-trees,Easy,2826,65,1
middle-of-the-linked-list,Easy,8273,227,1
projection-area-of-3d-shapes,Easy,463,1262,1
uncommon-words-from-two-sentences,Easy,1077,150,1
surface-area-of-3d-shapes,Easy,468,657,1
monotonic-array,Easy,1846,59,1
increasing-order-search-tree,Easy,3684,640,1
sort-array-by-parity,Easy,4026,130,1
smallest-range-i,Easy,520,1764,1
reverse-only-letters,Easy,1682,57,1
sort-array-by-parity-ii,Easy,2127,79,1
number-of-recent-calls,Easy,868,2588,1
range-sum-of-bst,Easy,5494,349,1
valid-mountain-array,Easy,2456,151,1
delete-columns-to-make-sorted,Easy,436,2108,1
verifying-an-alien-dictionary,Easy,3222,1039,1
n-repeated-element-in-size-2n-array,Easy,1077,311,1
univalued-binary-tree,Easy,1532,59,1
squares-of-a-sorted-array,Easy,6965,176,1
vertical-order-traversal-of-a-binary-tree,Hard,5526,3999,1
cousins-in-binary-tree,Easy,3283,167,1
available-captures-for-rook,Easy,515,596,1
find-common-characters,Easy,2769,227,1
complement-of-base-10-integer,Easy,1747,87,1
sum-of-root-to-leaf-binary-numbers,Easy,2900,168,1
maximum-difference-between-node-and-ancestor,Medium,3807,92,1
recover-a-tree-from-preorder-traversal,Hard,1310,36,1
matrix-cells-in-distance-order,Easy,577,261,1
valid-boomerang,Easy,287,422,1
last-stone-weight,Easy,4016,76,1
remove-all-adjacent-duplicates-in-string,Easy,5209,204,1
height-checker,Easy,737,61,1
greatest-common-divisor-of-strings,Easy,1531,304,1
duplicate-zeros,Easy,2093,633,1
defanging-an-ip-address,Easy,1450,1608,1
relative-sort-array,Easy,2035,117,1
n-th-tribonacci-number,Easy,2476,133,1
day-of-the-year,Easy,308,365,1
find-words-that-can-be-formed-by-characters,Easy,1211,139,1
distance-between-bus-stops,Easy,614,64,1
day-of-the-week,Easy,289,2122,1
maximum-number-of-balloons,Easy,1252,76,1
minimum-absolute-difference,Easy,1845,62,1
unique-number-of-occurrences,Easy,3000,65,1
split-a-string-in-balanced-strings,Easy,2104,812,1
check-if-it-is-a-straight-line,Easy,1162,170,1
cells-with-odd-values-in-a-matrix,Easy,918,1276,1
find-winner-on-a-tic-tac-toe-game,Easy,1120,281,1
subtract-the-product-and-sum-of-digits-of-an-integer,Easy,1779,203,1
element-appearing-more-than-25-in-sorted-array,Easy,757,40,1
convert-binary-number-in-a-linked-list-to-integer,Easy,3300,143,1
find-numbers-with-even-number-of-digits,Easy,1711,106,1
replace-elements-with-greatest-element-on-right-side,Easy,1704,180,1
find-n-unique-integers-sum-up-to-zero,Easy,1498,526,1
decrypt-string-from-alphabet-to-integer-mapping,Easy,1231,84,1
decompress-run-length-encoded-list,Easy,955,1190,1
convert-integer-to-the-sum-of-two-no-zero-integers,Easy,309,250,1
maximum-69-number,Easy,2276,189,1
rank-transform-of-an-array,Easy,1250,62,1
the-k-weakest-rows-in-a-matrix,Easy,2946,174,1
reduce-array-size-to-the-half,Medium,2867,140,1
number-of-steps-to-reduce-a-number-to-zero,Easy,2994,141,1
check-if-n-and-its-double-exist,Easy,1370,151,1
count-negative-numbers-in-a-sorted-matrix,Easy,2899,87,1
sort-integers-by-the-number-of-1-bits,Easy,1405,61,1
number-of-days-between-two-dates,Easy,256,1006,1
how-many-numbers-are-smaller-than-the-current-number,Easy,4156,83,1
generate-a-string-with-characters-that-have-odd-counts,Easy,359,1121,1
find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree,Easy,1396,1732,1
lucky-numbers-in-a-matrix,Easy,1261,72,1
create-target-array-in-the-given-order,Easy,1425,1437,1
find-lucky-integer-in-an-array,Easy,825,24,1
count-largest-group,Easy,332,758,1
string-matching-in-an-array,Easy,666,78,1
html-entity-parser,Medium,152,285,1
minimum-value-to-get-positive-step-by-step-sum,Easy,1237,257,1
reformat-the-string,Easy,463,86,1
maximum-score-after-splitting-a-string,Easy,556,33,1
kids-with-the-greatest-number-of-candies,Easy,2162,309,1
destination-city,Easy,1180,61,1
check-if-all-1s-are-at-least-length-k-places-away,Easy,485,205,1
build-an-array-with-stack-operations,Medium,99,18,1
consecutive-characters,Easy,1422,28,1
count-good-nodes-in-binary-tree,Medium,4401,119,1
number-of-students-doing-homework-at-a-given-time,Easy,695,139,1
check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,Easy,640,31,1
make-two-arrays-equal-by-reversing-subarrays,Easy,863,122,1
maximum-product-of-two-elements-in-an-array,Easy,1347,175,1
shuffle-the-array,Easy,3237,210,1
design-browser-history,Medium,1856,126,1
final-prices-with-a-special-discount-in-a-shop,Easy,1465,85,1
running-sum-of-1d-array,Easy,5486,276,1
xor-operation-in-an-array,Easy,1053,305,1
average-salary-excluding-the-minimum-and-maximum-salary,Easy,1052,123,1
path-crossing,Easy,572,11,1
can-make-arithmetic-progression-from-sequence,Easy,925,56,1
reformat-date,Easy,320,378,1
number-of-good-pairs,Easy,3370,176,1
water-bottles,Easy,790,63,1
count-odd-numbers-in-an-interval-range,Easy,1241,88,1
shuffle-string,Easy,1970,340,1
count-good-triplets,Easy,547,1031,1
kth-missing-positive-number,Easy,3384,242,1
make-the-string-great,Easy,2085,93,1
three-consecutive-odds,Easy,476,49,1
thousand-separator,Easy,388,21,1
matrix-diagonal-sum,Easy,1729,25,1
replace-all-s-to-avoid-consecutive-repeating-characters,Easy,462,152,1
special-positions-in-a-binary-matrix,Easy,551,20,1
sum-of-all-odd-length-subarrays,Easy,2819,209,1
crawler-log-folder,Easy,678,50,1
design-parking-system,Easy,923,342,1
special-array-with-x-elements-greater-than-or-equal-x,Easy,1180,186,1
maximum-nesting-depth-of-the-parentheses,Easy,1217,218,1
mean-of-array-after-removing-some-elements,Easy,351,95,1
largest-substring-between-two-equal-characters,Easy,498,29,1
slowest-key,Easy,631,93,1
sort-array-by-increasing-frequency,Easy,2049,80,1
check-array-formation-through-concatenation,Easy,763,124,1
get-maximum-in-generated-array,Easy,537,728,1
defuse-the-bomb,Easy,531,52,1
design-an-ordered-stream,Easy,346,2556,1
check-if-two-string-arrays-are-equivalent,Easy,1931,170,1
richest-customer-wealth,Easy,2883,304,1
goal-parser-interpretation,Easy,1080,75,1
count-the-number-of-consistent-strings,Easy,1239,53,1
count-of-matches-in-tournament,Easy,790,136,1
reformat-phone-number,Easy,253,179,1
determine-if-string-halves-are-alike,Easy,1550,79,1
maximum-units-on-a-truck,Easy,3245,183,1
calculate-money-in-leetcode-bank,Easy,513,16,1
decode-xored-array,Easy,1114,172,1
number-of-rectangles-that-can-form-the-largest-square,Easy,441,46,1
find-the-highest-altitude,Easy,1128,96,1
sum-of-unique-elements,Easy,1024,22,1
minimum-changes-to-make-alternating-binary-string,Easy,477,16,1
merge-strings-alternately,Easy,839,16,1
count-items-matching-a-rule,Easy,1294,138,1
find-nearest-point-that-has-the-same-x-or-y-coordinate,Easy,638,128,1
check-if-binary-string-has-at-most-one-segment-of-ones,Easy,234,713,1
check-if-one-string-swap-can-make-strings-equal,Easy,768,37,1
find-center-of-star-graph,Easy,915,115,1
second-largest-digit-in-a-string,Easy,363,98,1
maximum-ascending-subarray-sum,Easy,523,17,1
determine-color-of-a-chessboard-square,Easy,556,15,1
truncate-sentence,Easy,715,19,1
sign-of-the-product-of-an-array,Easy,842,110,1
minimum-operations-to-make-the-array-increasing,Easy,843,39,1
check-if-the-sentence-is-pangram,Easy,2048,45,1
sum-of-digits-in-base-k,Easy,374,31,1
replace-all-digits-with-characters,Easy,558,52,1
minimum-distance-to-the-target-element,Easy,247,50,1
maximum-population-year,Easy,846,133,1
sorting-the-sentence,Easy,1500,43,1
sum-of-all-subset-xor-totals,Easy,1109,99,1
longer-contiguous-segments-of-ones-than-zeros,Easy,385,8,1
substrings-of-size-three-with-distinct-characters,Easy,931,27,1
check-if-word-equals-summation-of-two-words,Easy,421,24,1
check-if-all-the-integers-in-a-range-are-covered,Easy,385,72,1
redistribute-characters-to-make-all-strings-equal,Easy,329,36,1
largest-odd-number-in-string,Easy,629,53,1
remove-one-element-to-make-the-array-strictly-increasing,Easy,839,256,1
maximum-product-difference-between-two-pairs,Easy,620,34,1
build-array-from-permutation,Easy,2106,237,1
concatenation-of-array,Easy,1796,258,1
maximum-number-of-words-you-can-type,Easy,414,19,1
check-if-all-characters-have-equal-number-of-occurrences,Easy,548,13,1
sum-of-digits-of-string-after-convert,Easy,421,41,1
three-divisors,Easy,336,19,1
check-if-string-is-a-prefix-of-array,Easy,326,55,1
number-of-strings-that-appear-as-substrings-in-word,Easy,454,21,1
minimum-time-to-type-word-using-special-typewriter,Easy,475,18,1
find-greatest-common-divisor-of-array,Easy,668,26,1
find-the-middle-index-in-array,Easy,842,35,1
count-special-quadruplets,Easy,437,173,1
reverse-prefix-of-word,Easy,532,12,1
count-number-of-pairs-with-absolute-difference-k,Easy,1040,22,1
find-original-array-from-doubled-array,Medium,2108,106,1
final-value-of-variable-after-performing-operations,Easy,940,133,1
maximum-difference-between-increasing-elements,Easy,682,24,1
convert-1d-array-into-2d-array,Easy,508,37,1
minimum-moves-to-convert-string,Easy,327,58,1
two-out-of-three,Easy,480,33,1
minimum-number-of-moves-to-seat-everyone,Easy,526,93,1
check-if-numbers-are-ascending-in-a-sentence,Easy,405,15,1
kth-distinct-string-in-an-array,Easy,502,17,1
smallest-index-with-equal-value,Easy,259,95,1
count-vowel-substrings-of-a-string,Easy,636,156,1
check-whether-two-strings-are-almost-equivalent,Easy,312,12,1
time-needed-to-buy-tickets,Easy,566,34,1
two-furthest-houses-with-different-colors,Easy,657,19,1
count-common-words-with-one-occurrence,Easy,521,12,1
find-target-indices-after-sorting-array,Easy,1154,51,1
finding-3-digit-even-numbers,Easy,361,215,1
delete-the-middle-node-of-a-linked-list,Medium,2576,46,1
find-subsequence-of-length-k-with-the-largest-sum,Easy,800,77,1
rings-and-rods,Easy,644,13,1
find-first-palindromic-string-in-the-array,Easy,647,22,1
maximum-number-of-words-found-in-sentences,Easy,1086,31,1
a-number-after-a-double-reversal,Easy,413,25,1
check-if-all-as-appears-before-all-bs,Easy,504,10,1
capitalize-the-title,Easy,428,39,1
check-if-every-row-and-column-contains-all-numbers,Easy,654,37,1
divide-a-string-into-groups-of-size-k,Easy,335,14,1
minimum-cost-of-buying-candies-with-discount,Easy,384,12,1
count-elements-with-strictly-smaller-and-greater-elements,Easy,419,17,1
keep-multiplying-found-values-by-two,Easy,454,20,1
minimum-sum-of-four-digit-number-after-splitting-digits,Easy,820,77,1
sort-even-and-odd-indices-independently,Easy,473,31,1
count-operations-to-obtain-zero,Easy,407,12,1
count-equal-and-divisible-pairs-in-an-array,Easy,410,15,1
count-integers-with-even-digit-sum,Easy,387,19,1
counting-words-with-a-given-prefix,Easy,422,11,1
most-frequent-number-following-key-in-an-array,Easy,239,123,1
cells-in-a-range-on-an-excel-sheet,Easy,360,52,1
divide-array-into-equal-pairs,Easy,426,16,1
count-hills-and-valleys-in-an-array,Easy,408,64,1
find-the-difference-of-two-arrays,Easy,478,22,1
minimum-bit-flips-to-convert-number,Easy,372,6,1
find-triangular-sum-of-an-array,Medium,684,31,1
minimum-number-of-operations-to-convert-time,Easy,313,27,1
largest-number-after-digit-swaps-by-parity,Easy,369,229,1
add-two-integers,Easy,729,1957,1
root-equals-sum-of-children,Easy,623,850,1
find-closest-number-to-zero,Easy,354,25,1
calculate-digit-sum-of-a-string,Easy,362,30,1
intersection-of-multiple-arrays,Easy,400,25,1
count-prefixes-of-a-given-string,Easy,324,10,1
remove-digit-from-number-to-maximize-result,Easy,495,25,1
largest-3-same-digit-number-in-string,Easy,250,16,1
find-the-k-beauty-of-a-number,Easy,360,22,1
find-resultant-array-after-removing-anagrams,Easy,397,95,1
percentage-of-letter-in-string,Easy,287,32,1
check-if-number-has-equal-digit-count-and-digit-value,Easy,344,35,1
rearrange-characters-to-make-target-string,Easy,303,23,1
min-max-game,Easy,343,16,1
design-a-text-editor,Hard,391,210,1
strong-password-checker-ii,Easy,217,30,1
greatest-english-letter-in-upper-and-lower-case,Easy,302,21,1
count-asterisks,Easy,338,51,1
