name,difficulty,likes,disslikes,isSolved
minimum-falling-path-sum,Medium,4140,116,0
median-of-two-sorted-arrays,Hard,21053,2374,0
longest-palindromic-substring,Medium,22965,1342,0
zigzag-conversion,Medium,4742,10288,0
regular-expression-matching,Hard,9708,1567,0
container-with-most-water,Medium,21672,1158,0
3sum,Medium,22977,2098,0
3sum-closest,Medium,8314,458,0
letter-combinations-of-a-phone-number,Medium,13451,782,0
4sum,Medium,8251,959,0
generate-parentheses,Medium,16207,630,0
reverse-nodes-in-k-group,Hard,9869,555,0
divide-two-integers,Medium,3759,12243,0
substring-with-concatenation-of-all-words,Hard,418,26,0
next-permutation,Medium,13743,3920,0
longest-valid-parentheses,Hard,10175,323,0
search-in-rotated-sorted-array,Medium,18915,1125,0
find-first-and-last-position-of-element-in-sorted-array,Medium,15005,363,0
sudoku-solver,Hard,7018,188,0
count-and-say,Medium,2788,5881,0
combination-sum,Medium,14362,289,0
combination-sum-ii,Medium,7470,183,0
first-missing-positive,Hard,12585,1505,0
trapping-rain-water,Hard,24185,337,0
multiply-strings,Medium,5510,2403,0
wildcard-matching,Hard,6209,263,0
jump-game-ii,Medium,10263,357,0
permutations,Medium,13955,233,0
permutations-ii,Medium,6829,121,0
group-anagrams,Medium,13506,398,0
n-queens,Hard,8903,197,0
n-queens-ii,Hard,2942,235,0
spiral-matrix,Medium,9812,965,0
jump-game,Medium,13918,738,0
insert-interval,Medium,6412,450,0
spiral-matrix-ii,Medium,4439,200,0
permutation-sequence,Hard,5087,427,0
rotate-list,Medium,6876,1325,0
unique-paths,Medium,12471,361,0
unique-paths-ii,Medium,6315,423,0
minimum-path-sum,Medium,9116,118,0
valid-number,Hard,811,1396,0
text-justification,Hard,2149,3349,0
simplify-path,Medium,3079,616,0
edit-distance,Hard,10633,120,0
set-matrix-zeroes,Medium,10001,581,0
sort-colors,Medium,13231,482,0
minimum-window-substring,Hard,13831,605,0
combinations,Medium,5419,171,0
subsets,Medium,12945,184,0
word-search,Medium,12334,498,0
remove-duplicates-from-sorted-array-ii,Medium,4352,963,0
search-in-rotated-sorted-array-ii,Medium,5443,805,0
